Title,Price,Tags
Cabin Fever,Rp 62 999,"Visual Novel, Dating Sim, Romance, Singleplayer"
Reminiscence,Free To Play,"Psychological Horror, Adventure, Horror, Narration"
Swords of Legends Online,Rp 600 000,"MMORPG, Action RPG, Open World, Massively Multiplayer"
Monster Hunter Stories 2: Wings of Ruin,Rp 847 999,"RPG, Adventure, JRPG, Exploration"
Monster Hunter Stories 2: Wings of Ruin Trial Version,Free,"RPG, Adventure, Exploration, JRPG"
Boomerang X,Rp 119 999,"Arena Shooter, Fast-Paced, Stylized, Bullet Time"
Ys IX: Monstrum Nox,Rp 323 999,"JRPG, Action, Action RPG, Story Rich"
Norega,Free to Play,"RPG, Point & Click, Auto Battler, Turn-Based Strategy"
Fears to Fathom - Home Alone,Free To Play,"Horror, Adventure, Psychological Horror, Casual"
Wrestling Empire,Rp 108 999,"Sports, Wrestling, 3D Fighter, Character Customization"
Doki Doki Literature Club Plus!,Rp 95 999,"Psychological Horror, Anime, Visual Novel, Dating Sim"
Arid,Free,"Open World Survival Craft, Exploration, Survival, Sandbox"
Redmatch 2,Free To Play,"Multiplayer, Indie, FPS, Action"
SCARLET NEXUS,Rp 549 000,"Action, Adventure, RPG, Anime"
TM - Prologue,Free,"Strategy, Simulation, Indie, Medieval"
PULSAR: Lost Colony,Rp 119 999,"Space, Co-op, Adventure, Open World"
Vedelem: The Golden Horde,Free,"Strategy, Action, Base Building, Management"
ENDER LILIES: Quietus of the Knights,Rp 119 999,"Metroidvania, Female Protagonist, Dark Fantasy, Souls-like"
SURV1V3,Rp 119 999,"VR, Action, Zombies, Indie"
Roguebook,Rp 319 999,"Roguelike Deckbuilder, Card Game, Adventure, Roguelite"
Cruelty Squad,Rp 108 999,"FPS, Capitalism, Immersive Sim, Stealth"
Dark Deity,Rp 119 999,"Turn-Based Tactics, Tactical RPG, Turn-Based Strategy, Adventure"
Wildermyth,Rp 119 999,"Story Rich, Party-Based RPG, Choices Matter, Turn-Based Tactics"
Spellcaster University,Rp 119 999,"Strategy, Simulation, Magic, Management"
GUILTY GEAR -STRIVE-,Rp 749 000,"2D Fighter, Fighting, 2.5D, Anime"
GUILTY GEAR -STRIVE-,Rp 749 000,"2D Fighter, Fighting, 2.5D, Anime"
Hell Architect: Prologue,Free,"City Builder, Colony Sim, Dungeon Crawler, Base Building"
Deepest Sword,Free To Play,"Side Scroller, 2D Platformer, Pixel Graphics, Puzzle Platformer"
Muck,Free,"Survival, Crafting, Building, Roguelike"
Sniper Ghost Warrior Contracts 2,Rp 199 999,"Sniper, FPS, Stealth, Shooter"
Motorcycle Mechanic Simulator 2021: Prologue,Free To Play,"Casual, Simulation, Sandbox, Walking Simulator"
My Child Lebensborn,Rp 47 999,"Atmospheric, Simulation, Choices Matter, Story Rich"
Necromunda: Hired Gun,Rp 349 000,"Action, Adventure, Warhammer 40K, Shooter"
Rubber Bandits: Summer Prologue,Free,"Beat 'em up, PvP, 3D, Multiplayer"
Solasta: Crown of the Magister,Rp 133 599,"RPG, Dungeons & Dragons, Choices Matter, Tactical"
Tainted Grail: Conquest,Rp 108 999,"Dark Fantasy, Deckbuilding, Story Rich, Card Game"
SINGULARITY WORLD,Rp 67 199,"Mystery, Action, Adventure, Horror"
DEKONSTRUKT,Rp 59 499,"Adventure, Choices Matter, Story Rich, Cinematic"
Limb Hunter,,"Action, Platformer, 2D Platformer, Exploration"
PROJECTIONS,Rp 83 999,"Action, Hack and Slash, Procedural Generation, Arcade"
Magic gems,,"Casual, Simulation, 2D Platformer, Runner"
Hungry Bunny,,"Roguelite, Casual, Simulation, Puzzle"
Save The Octo,,"Hero Shooter, Casual, Simulation, Clicker"
Ancient Dino Runner,,"Side Scroller, Simulation, Racing, Game Development"
Barking Puzzle,,"Exploration, Casual, Simulation, 2D Platformer"
Cubia,,"3D Platformer, Puzzle Platformer, Platformer, 3D"
Company of Heroes 3 - Pre-Alpha Preview,,"Strategy, Turn-Based Tactics, Action RTS, Wargame"
Reverie Knights Tactics: Prologue,Free,"Adventure, RPG, Turn-Based Strategy, Turn-Based Tactics"
Witch's Reign,Rp 52 499,"Action Roguelike, Choose Your Own Adventure, Horror, Turn-Based Tactics"
*NEW* SCUFFED EPIC VISUAL NOVEL,Rp 6 799,"Casual, Memes, Choose Your Own Adventure, 2D"
Reef Rumble,,"Action, Multiplayer, Combat, 2D"
Cranked Up,Rp 55 999,"Indie, Adventure, Platformer, Difficult"
Fat Fritz 2.0 SE,,"Strategy, Chess, Board Game, Artificial Intelligence"
Underwater,Rp 17 499,"Adventure, Story Rich, Horror, Atmospheric"
Underwater,Rp 17 499,"Adventure, Story Rich, Horror, Atmospheric"
Submarine War,Rp 6 799,"Simulation, Submarine, Action, Naval Combat"
Mrs.Cat In Mars,Rp 5 099,"Cats, Precision Platformer, Mars, Souls-like"
Cricket Captain 2021,Rp 119 999,"Sports, Simulation, Strategy, Management"
Earth Marines,Rp 14 999,"Action, Adventure, Shooter, 2D"
Outsider: After Life Soundtrack,Rp 35 999,
Outsider: After Life,Rp 62 999,"Puzzle, Point & Click, 2D, Horror"
Historical Jigsaw Puzzle: World War I,Rp 17 499,"Casual, Puzzle, World War I, 2D"
Radio Viscera,Rp 87 199,"Top-Down Shooter, Fast-Paced, Gore, Combat"
Triversal,Rp 82 999,"Casual, Puzzle, Relaxing, Colorful"
The Chameleon,Rp 62 999,"Stealth, Retro, Heist, 3D"
Azimech,Free To Play,"Action, Adventure, Action-Adventure, Beat 'em up"
Spades,Rp 78 999,"Strategy, Card Game, Casual, Tabletop"
Path of Vidya,Free To Play,"RPG, 2D, Modern, Story Rich"
Blood Labs,Rp 32 999,"Action, Action Roguelike, 2D, Dark"
Destined to Die,Free,"Casual, RPG, Life Sim, Strategy RPG"
Ascent,,"Adventure, Puzzle, Perma Death, 2D"
Broadside: Perilous Waters,Free To Play,"Free to Play, Indie, Massively Multiplayer, Simulation"
